
Network Stats for the last 2162 seconds:

Total Sent Spatial Packets: 887423
Total Requested to Send Spatial Packets: 2387493
Total Sent Actor Motion Hints Packets: 19780
Percentage of Usual Bandwidth Used: 37.72%


Total Sent: 1747212, 0B (68.08MB)
307 SetPlayerInventoryOptionsPacket   7B, Num 1, Avg 7B
188 UpdateAdventureSettingsPacket     7B, Num 1, Avg 7B
42  SetHealthPacket                   6B, Num 3, Avg 2B
160 PlayerFogPacket                   3B, Num 1, Avg 3B
338 CameraSplinePacket                3B, Num 1, Avg 3B
59  SetCommandsEnabledPacket          2B, Num 1, Avg 2B
60  SetDifficultyPacket               2B, Num 1, Avg 2B

Total Received: 50117, 0B (5.18MB)
144 PlayerAuthInputPacket             4.10MB, Num 41972, Avg 102B
1   LoginPacket                       0.56MB, Num 1, Avg 0.56MB
135 ClientCacheBlobStatusPacket       262.52KB, Num 2179, Avg 123B
175 SubChunkRequestPacket             205.79KB, Num 3147, Avg 66B
30  InventoryTransactionPacket        25.92KB, Num 375, Avg 70B
44  AnimatePacket                     17.84KB, Num 1362, Avg 13B
31  MobEquipmentPacket                10.01KB, Num 290, Avg 35B
33  InteractPacket                    6.42KB, Num 565, Avg 11B
36  PlayerActionPacket                1.29KB, Num 102, Avg 13B
147 ItemStackRequestPacket            0.82KB, Num 31, Avg 27B
321 ClientCameraAimAssistPacket       200B, Num 40, Avg 5B
27  ActorEventPacket                  136B, Num 17, Avg 8B
47  ContainerClosePacket              92B, Num 23, Avg 4B
8   ResourcePackClientResponsePacket  50B, Num 2, Avg 25B
69  RequestChunkRadiusPacket          12B, Num 4, Avg 3B
312 ServerboundLoadingScreenPacket    8B, Num 2, Avg 4B
193 RequestNetworkSettingsPacket      6B, Num 1, Avg 6B
129 ClientCacheStatusPacket           3B, Num 1, Avg 3B
113 SetLocalPlayerAsInitializedPacket 2B, Num 1, Avg 2B
102 ServerSettingsRequestPacket       1B, Num 1, Avg 1B
4   ClientToServerHandshakePacket     1B, Num 1, Avg 1B

